"Inflation rate, average consumer prices (Annual percent change)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
South Asia,"11,5","12,9","8,1","11,6",7,"6,3","8,2","8,5","7,9","5,6",11,"12,9","8,9","7,5","9,9","10,2","9,6","7,3","11,7","4,2","3,8","4,5","4,7","4,1","4,5","4,8",7,"6,5","9,9","11,2","9,2","8,7",10,"8,9","6,2","4,9","4,5","3,9","3,7",5,"6,5","5,8","7,8",8,"6,7","5,1","4,6","4,4","4,4","4,4"
Southeast Asia,"17,5","15,1","12,4",10,"16,1","11,5","16,1","16,1","17,6","10,9","9,2",13,"8,2","7,1","7,4","7,7","6,5","5,2","26,3",10,"2,7","5,2","5,9","4,5","4,6","6,9","8,1","5,2","9,6",3,"4,5",6,"3,9","4,5","4,3","2,9","2,3","2,9","2,8","2,2","1,4",2,5,"4,1",3,"2,7","2,7","2,7","2,7","2,7"
Sub-Saharan Africa (Region) ,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,"42,2","39,7","17,9","10,5","13,3","15,4","13,2","11,6",11,"9,2","9,4","7,4",6,"12,7","9,6","8,1","9,7",10,"7,6","7,6","7,1","10,5","11,4","10,2","9,6","14,2","17,5","17,7","19,1","17,6","13,5","10,3","9,6",9,"8,9"
Western Europe,"12,9","12,1","10,4","8,2","6,8","5,8","3,6","3,3","3,6","5,1","4,7","5,2","4,5","3,7","2,9","2,8","2,4","1,7","1,3","1,2",2,"2,2","2,1",2,"1,9","2,1","2,2","2,1","3,3","0,6","1,8","2,8","2,4","1,5","0,6","0,2","0,4","1,7","1,8","1,3","0,3","2,5","8,2","5,5","2,4",2,"1,9","1,9","1,9","1,9"
Western Hemisphere (Region),"23,5","21,8","21,4","23,6",25,"27,1","22,3","30,5","44,2","52,4","64,2","30,7",36,"45,6","46,1",12,"7,5",5,"3,6","4,1","4,7","3,8","2,9","4,1","3,5","3,8","3,4","3,2","4,4","1,1","2,4","3,7","2,8","2,3","2,6","1,6","2,4","3,4","3,7","3,5","2,7","6,1","9,7","7,1","6,8","3,6","3,1","2,8","2,6","2,6"
ASEAN-5,"16,6",12,"7,9","7,4",14,"6,9",3,"5,5","6,6","6,3","7,3",9,"6,2","6,7","7,3","7,1","6,5","5,3","30,5","10,4","3,1","6,5","6,1","3,9","4,2","6,9","8,1","4,1","7,9","2,7",4,"4,7","3,4","4,2","4,3","3,1","2,1","2,8","2,6","1,9",1,2,"4,8","3,5","2,5","2,4","2,4","2,4","2,4","2,4"
Advanced economies,"13,6",11,"8,3",6,"6,4","5,4","2,9","3,2","3,5","4,7","4,9","4,7","3,5","3,2","2,6","2,6","2,5","2,1","1,6","1,4","2,2","2,2","1,5","1,8",2,"2,3","2,4","2,2","3,4","0,2","1,5","2,7",2,"1,4","1,4","0,3","0,7","1,7",2,"1,4","0,7","3,1","7,3","4,6","2,6",2,2,2,2,2
Emerging and Developing Asia,no data,"11,2","8,3","8,9","9,1","9,1","10,8",11,"14,7","11,3","8,1","10,1","8,3",10,"14,3","11,8","8,2","4,7","10,8","3,5","2,1","3,1","2,7",3,"4,3","3,8","4,6","5,3","7,7","2,9","5,1","6,2","4,7","4,6","3,5","2,7","2,8","2,5","2,7","3,3","3,2","2,3","3,9","2,4","2,4","2,8","2,7","2,7","2,7","2,7"
Emerging and Developing Europe,"29,2","17,2","36,8","17,1","32,6","18,1","16,3","20,3","40,2","69,9","132,5","87,9","646,9","500,3","219,9","133,2","50,8","39,9","35,9","56,8","28,7",25,"17,7","12,9","9,2","9,7","8,1",8,"12,1","8,8","6,6","7,9","6,3","5,6","6,6","10,7","5,6","5,6","6,4","6,7","5,4","9,6","27,8","19,4","18,8","13,1","8,8","7,8","7,7","7,7"
Emerging market and developing economies,26,"23,1","26,2","29,2","31,4","32,2","30,6","39,1","55,7","64,4","76,4","42,6","111,3","112,3","86,1","38,4","19,8",13,"13,4",13,"8,5","7,9","6,6","6,5",6,"5,9","5,9","6,5","9,3",5,"5,6",7,"5,8","5,5","4,7","4,7","4,4","4,5",5,"5,1","5,2","5,9","9,8","8,3","8,3","6,2","4,9","4,4","4,3","4,2"
Euro area,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,"4,1","3,6","3,2","2,7","2,4",2,"1,6","1,1","1,1","2,1","2,3","2,3","2,1","2,1","2,2","2,2","2,1","3,3","0,3","1,6","2,7","2,5","1,4","0,4","0,2","0,2","1,5","1,8","1,2","0,3","2,6","8,4","5,4","2,4","2,1",2,"1,9","1,9","1,9"
European Union,12,"12,1","14,8","9,3","10,1","6,2","4,2","4,1",6,16,"31,3","14,9","11,5","11,9","8,5","5,6","5,5","12,6","3,4","2,6","3,7","3,4","2,8","2,4","2,5","2,4","2,4","2,4","3,7","0,8","1,8","2,9","2,6","1,4","0,4","0,1","0,1","1,6","1,9","1,4","0,7","2,9","9,3","6,3","2,7","2,4","2,1","2,1",2,2
Latin America and the Caribbean,"51,5","53,4","64,7","94,3","100,3","116,5","95,6","138,1","247,7","322,1","459,8","139,5","189,8","269,3","275,8","41,2",21,"12,6","9,6","9,8","8,9","6,9","6,5","9,2","6,1","5,4","4,2","4,2","6,4","4,6","4,2","5,2","4,6","4,6","4,9","5,4","5,5","6,3","6,6","7,6","6,4","9,8",14,"14,4","16,7","7,7","5,6","4,4","3,8","3,6"
Major advanced economies (G7),"12,4","10,3","7,3","4,8","4,6","3,9","2,1","2,8","3,2","4,4","4,4","4,3","3,2","2,8","2,2","2,3","2,2",2,"1,2","1,4","2,1","1,9","1,3","1,8",2,"2,3","2,3","2,2","3,2","-0,1","1,4","2,6","1,9","1,3","1,5","0,3","0,8","1,8","2,1","1,5","0,8","3,3","7,3","4,7","2,6",2,2,2,2,"2,1"
Middle East and Central Asia,"11,5",11,"9,5","9,1","7,5","6,3","11,7","14,9","11,9","10,1","6,6","13,6","17,1","36,8",37,"26,2","13,3","8,3","6,6","5,7","3,8","3,9","5,1","5,3","6,1","7,1","8,2","10,4","12,4","6,6","6,6","9,1","9,2","8,6","6,4","5,6","5,9","7,1","9,9","7,6","10,3","12,7","13,9","16,7","15,5","11,8","8,5","7,5","6,9","6,6"
Other advanced economies,"24,9","15,6","12,8","11,5","17,4","15,3","5,9","5,3","5,6","6,1",7,"6,2","3,9","3,7","3,9",4,"3,6","2,8","3,1","0,9","2,1","2,5","1,6","1,6","1,9","2,1","2,1",2,"4,3","1,4","2,2",3,2,"1,5","1,4","0,6","0,9","1,5","1,5","1,1","0,5","2,3","5,6","4,2","2,5","2,1",2,2,2,2
Sub-Saharan Africa,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,"37,7","16,5","9,7","13,1","16,1","14,2","10,9","11,4","9,1","9,4","7,4","5,4","12,6","9,6","7,8","9,3",9,"6,5","6,3","6,7","10,1","10,5","8,3","8,1","10,2",11,"14,5","16,2","15,3","12,4","9,9","9,5","9,1",9
World,"17,3","15,1","14,3","13,5","14,1","13,8","11,9","14,7","19,7","22,8","26,3","17,1","38,6","39,1","31,1","16,1","9,4","6,6","6,4","6,1","4,9","4,6","3,7","3,9","3,8",4,4,"4,3","6,4","2,6","3,7",5,"4,1","3,6","3,2","2,7","2,7","3,3","3,6","3,5","3,2","4,7","8,7","6,8","5,9","4,5","3,7","3,5","3,4","3,4"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"©IMF, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
